property_url,mls,mls_id,status,style,street,unit,city,state,zip_code,beds,full_baths,half_baths,sqft,year_built,days_on_mls,list_price,list_date,sold_price,last_sold_date,lot_sqft,price_per_sqft,latitude,longitude,stories,hoa_fee,parking_garage,primary_photo,alt_photos
https://www.realtor.com/realestateandhomes-detail/3308572404,BSMA,73189101,FOR_SALE,SINGLE_FAMILY,347  Main St,,Boxford,MA,01921,3,1,,1959,1959,3,550000,2023-12-27,,,87120,281,42.682951,-71.046143,,0,1,http://ap.rdcpix.com/2f281c8167dcb91d97e69059430d4bf1l-m1740612089od-w480_h360_x2.webp?w=1080&q=75,"http://ap.rdcpix.com/2f281c8167dcb91d97e69059430d4bf1l-m1740612089od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/2f281c8167dcb91d97e69059430d4bf1l-m807492462od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/2f281c8167dcb91d97e69059430d4bf1l-m454582763od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/2f281c8167dcb91d97e69059430d4bf1l-m1291953698od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/2f281c8167dcb91d97e69059430d4bf1l-m3889886298od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/2f281c8167dcb91d97e69059430d4bf1l-m1785319891od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/2f281c8167dcb91d97e69059430d4bf1l-m2376548890od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/2f281c8167dcb91d97e69059430d4bf1l-m1532639193od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/2f281c8167dcb91d97e69059430d4bf1l-m1640511994od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/2f281c8167dcb91d97e69059430d4bf1l-m2096422899od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/2f281c8167dcb91d97e69059430d4bf1l-m373578233od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/2f281c8167dcb91d97e69059430d4bf1l-m3695134042od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/2f281c8167dcb91d97e69059430d4bf1l-m4125724115od-w480_h360_x2.webp?w=1080&q=75"
https://www.realtor.com/realestateandhomes-detail/9262847495,TB1B,263001,FOR_SALE,CONDO_TOWNHOME_ROWHOME_COOP,44  Ingalls Village Way,,Boxford,MA,01921,2,2,1,2612,,4,1169995,2023-12-26,,,,448,42.71312514650661,-71.03891379308291,2,,2,http://nh.rdcpix.com/58313c65b62adae6090dde8a76297b72l-f4162167524od-w480_h360_x2.webp?w=1080&q=75,"http://nh.rdcpix.com/58313c65b62adae6090dde8a76297b72l-f4162167524od-w480_h360_x2.webp?w=1080&q=75, http://nh.rdcpix.com/58313c65b62adae6090dde8a76297b72t-f2899463012od-w480_h360_x2.webp?w=1080&q=75, http://nh.rdcpix.com/58313c65b62adae6090dde8a76297b72t-f3202944486od-w480_h360_x2.webp?w=1080&q=75, http://nh.rdcpix.com/58313c65b62adae6090dde8a76297b72t-f2203065138od-w480_h360_x2.webp?w=1080&q=75, http://nh.rdcpix.com/58313c65b62adae6090dde8a76297b72t-f3577973049od-w480_h360_x2.webp?w=1080&q=75, http://nh.rdcpix.com/58313c65b62adae6090dde8a76297b72t-f3299084354od-w480_h360_x2.webp?w=1080&q=75, http://nh.rdcpix.com/58313c65b62adae6090dde8a76297b72t-f3613922199od-w480_h360_x2.webp?w=1080&q=75, http://nh.rdcpix.com/58313c65b62adae6090dde8a76297b72t-f971231408od-w480_h360_x2.webp?w=1080&q=75, http://nh.rdcpix.com/58313c65b62adae6090dde8a76297b72t-f3160471224od-w480_h360_x2.webp?w=1080&q=75, http://nh.rdcpix.com/58313c65b62adae6090dde8a76297b72t-f2716563914od-w480_h360_x2.webp?w=1080&q=75, http://nh.rdcpix.com/58313c65b62adae6090dde8a76297b72t-f3350267151od-w480_h360_x2.webp?w=1080&q=75, http://nh.rdcpix.com/58313c65b62adae6090dde8a76297b72f-f1181606789od-w480_h360_x2.webp?w=1080&q=75, http://nh.rdcpix.com/58313c65b62adae6090dde8a76297b72f-f3455002194od-w480_h360_x2.webp?w=1080&q=75, http://nh.rdcpix.com/58313c65b62adae6090dde8a76297b72f-f3140778863od-w480_h360_x2.webp?w=1080&q=75"
https://www.realtor.com/realestateandhomes-detail/9442869862,BSMA,73184025,FOR_SALE,CONDOS,29  Ingalls Village Way,Unit 63,Boxford,MA,01921,2,2,1,2347,2023,30,1190995,2023-11-30,,,,507,42.714267,-71.040192,2,615,2,http://ap.rdcpix.com/31022479327d42bad7ca647542dac502l-m2613235957od-w480_h360_x2.webp?w=1080&q=75,"http://ap.rdcpix.com/31022479327d42bad7ca647542dac502l-m2613235957od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/31022479327d42bad7ca647542dac502l-m2793766905od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/31022479327d42bad7ca647542dac502l-m3989294280od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/31022479327d42bad7ca647542dac502l-m1861085787od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/31022479327d42bad7ca647542dac502l-m44559241od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/31022479327d42bad7ca647542dac502l-m2288405392od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/31022479327d42bad7ca647542dac502l-m598520782od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/31022479327d42bad7ca647542dac502l-m2442851069od-w480_h360_x2.webp?w=1080&q=75"
https://www.realtor.com/realestateandhomes-detail/9574567612,TB1B,263553,FOR_SALE,CONDO_TOWNHOME_ROWHOME_COOP,54  Ingalls Village Way,,Boxford,MA,01921,2,2,1,2367,,44,1104995,2023-11-16,,,,467,42.71312514650661,-71.03891379308291,2,,2,http://nh.rdcpix.com/9335db7e4695c2f43d1c7740d922c782l-f1898641480od-w480_h360_x2.webp?w=1080&q=75,"http://nh.rdcpix.com/9335db7e4695c2f43d1c7740d922c782l-f1898641480od-w480_h360_x2.webp?w=1080&q=75, http://nh.rdcpix.com/9335db7e4695c2f43d1c7740d922c782t-f1057278756od-w480_h360_x2.webp?w=1080&q=75, http://nh.rdcpix.com/9335db7e4695c2f43d1c7740d922c782t-f1081180638od-w480_h360_x2.webp?w=1080&q=75, http://nh.rdcpix.com/9335db7e4695c2f43d1c7740d922c782t-f457826533od-w480_h360_x2.webp?w=1080&q=75, http://nh.rdcpix.com/9335db7e4695c2f43d1c7740d922c782t-f205086894od-w480_h360_x2.webp?w=1080&q=75, http://nh.rdcpix.com/9335db7e4695c2f43d1c7740d922c782t-f1308670024od-w480_h360_x2.webp?w=1080&q=75, http://nh.rdcpix.com/9335db7e4695c2f43d1c7740d922c782t-f395644269od-w480_h360_x2.webp?w=1080&q=75, http://nh.rdcpix.com/9335db7e4695c2f43d1c7740d922c782t-f4026284090od-w480_h360_x2.webp?w=1080&q=75, http://nh.rdcpix.com/9335db7e4695c2f43d1c7740d922c782t-f1086972003od-w480_h360_x2.webp?w=1080&q=75, http://nh.rdcpix.com/9335db7e4695c2f43d1c7740d922c782t-f3065691728od-w480_h360_x2.webp?w=1080&q=75, http://nh.rdcpix.com/9335db7e4695c2f43d1c7740d922c782t-f4202558886od-w480_h360_x2.webp?w=1080&q=75, http://nh.rdcpix.com/9335db7e4695c2f43d1c7740d922c782t-f1819682318od-w480_h360_x2.webp?w=1080&q=75, http://nh.rdcpix.com/9335db7e4695c2f43d1c7740d922c782t-f850424880od-w480_h360_x2.webp?w=1080&q=75, http://nh.rdcpix.com/9335db7e4695c2f43d1c7740d922c782t-f1076851780od-w480_h360_x2.webp?w=1080&q=75, http://nh.rdcpix.com/9335db7e4695c2f43d1c7740d922c782t-f1854787612od-w480_h360_x2.webp?w=1080&q=75, http://nh.rdcpix.com/9335db7e4695c2f43d1c7740d922c782t-f3945885309od-w480_h360_x2.webp?w=1080&q=75, http://nh.rdcpix.com/9335db7e4695c2f43d1c7740d922c782t-f3111271564od-w480_h360_x2.webp?w=1080&q=75, http://nh.rdcpix.com/9335db7e4695c2f43d1c7740d922c782f-f1644609269od-w480_h360_x2.webp?w=1080&q=75, http://nh.rdcpix.com/9335db7e4695c2f43d1c7740d922c782f-f1269525555od-w480_h360_x2.webp?w=1080&q=75, http://nh.rdcpix.com/9335db7e4695c2f43d1c7740d922c782f-f231554831od-w480_h360_x2.webp?w=1080&q=75"
https://www.realtor.com/realestateandhomes-detail/9179520428,TB1B,263055,FOR_SALE,CONDO_TOWNHOME_ROWHOME_COOP,76  Ingalls Village Way,,Boxford,MA,01921,2,2,1,2347,,45,1116995,2023-11-15,,,,476,42.71312514650661,-71.03891379308291,2,,2,http://nh.rdcpix.com/519a3b50adbff09ec02fa7468586a68bl-f3632120863od-w480_h360_x2.webp?w=1080&q=75,"http://nh.rdcpix.com/519a3b50adbff09ec02fa7468586a68bl-f3632120863od-w480_h360_x2.webp?w=1080&q=75, http://nh.rdcpix.com/519a3b50adbff09ec02fa7468586a68bt-f1905273617od-w480_h360_x2.webp?w=1080&q=75, http://nh.rdcpix.com/519a3b50adbff09ec02fa7468586a68bt-f2233509593od-w480_h360_x2.webp?w=1080&q=75, http://nh.rdcpix.com/519a3b50adbff09ec02fa7468586a68bt-f3743206823od-w480_h360_x2.webp?w=1080&q=75, http://nh.rdcpix.com/519a3b50adbff09ec02fa7468586a68bt-f2478431494od-w480_h360_x2.webp?w=1080&q=75, http://nh.rdcpix.com/519a3b50adbff09ec02fa7468586a68bt-f1991091870od-w480_h360_x2.webp?w=1080&q=75, http://nh.rdcpix.com/519a3b50adbff09ec02fa7468586a68bt-f3723343345od-w480_h360_x2.webp?w=1080&q=75, http://nh.rdcpix.com/519a3b50adbff09ec02fa7468586a68bt-f859365477od-w480_h360_x2.webp?w=1080&q=75, http://nh.rdcpix.com/519a3b50adbff09ec02fa7468586a68bt-f105848403od-w480_h360_x2.webp?w=1080&q=75, http://nh.rdcpix.com/519a3b50adbff09ec02fa7468586a68bt-f1038334688od-w480_h360_x2.webp?w=1080&q=75, http://nh.rdcpix.com/519a3b50adbff09ec02fa7468586a68bt-f3117140218od-w480_h360_x2.webp?w=1080&q=75, http://nh.rdcpix.com/519a3b50adbff09ec02fa7468586a68bf-f3604220388od-w480_h360_x2.webp?w=1080&q=75, http://nh.rdcpix.com/519a3b50adbff09ec02fa7468586a68bf-f3877984757od-w480_h360_x2.webp?w=1080&q=75, http://nh.rdcpix.com/519a3b50adbff09ec02fa7468586a68bf-f381840349od-w480_h360_x2.webp?w=1080&q=75"
https://www.realtor.com/realestateandhomes-detail/4663446606,BSMA,73180437,FOR_SALE,SINGLE_FAMILY,22  Pond St,,Boxford,MA,01921,3,3,,2040,1915,45,849900,2023-11-15,,,108900,417,42.677725,-70.982685,,0,,http://ap.rdcpix.com/27fa11b1e3548955f7145688665742b8l-m622453433od-w480_h360_x2.webp?w=1080&q=75,"http://ap.rdcpix.com/27fa11b1e3548955f7145688665742b8l-m622453433od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/27fa11b1e3548955f7145688665742b8l-m1024934758od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/27fa11b1e3548955f7145688665742b8l-m3924241777od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/27fa11b1e3548955f7145688665742b8l-m1453148447od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/27fa11b1e3548955f7145688665742b8l-m3299114221od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/27fa11b1e3548955f7145688665742b8l-m1783178129od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/27fa11b1e3548955f7145688665742b8l-m389069607od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/27fa11b1e3548955f7145688665742b8l-m2959820882od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/27fa11b1e3548955f7145688665742b8l-m3574456675od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/27fa11b1e3548955f7145688665742b8l-m2495723533od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/27fa11b1e3548955f7145688665742b8l-m3190260011od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/27fa11b1e3548955f7145688665742b8l-m205641477od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/27fa11b1e3548955f7145688665742b8l-m1817073688od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/27fa11b1e3548955f7145688665742b8l-m645002130od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/27fa11b1e3548955f7145688665742b8l-m3845653699od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/27fa11b1e3548955f7145688665742b8l-m1619312769od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/27fa11b1e3548955f7145688665742b8l-m283554561od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/27fa11b1e3548955f7145688665742b8l-m549999541od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/27fa11b1e3548955f7145688665742b8l-m2178294904od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/27fa11b1e3548955f7145688665742b8l-m2611135677od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/27fa11b1e3548955f7145688665742b8l-m1534055058od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/27fa11b1e3548955f7145688665742b8l-m866492788od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/27fa11b1e3548955f7145688665742b8l-m880878159od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/27fa11b1e3548955f7145688665742b8l-m1373426272od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/27fa11b1e3548955f7145688665742b8l-m1844845926od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/27fa11b1e3548955f7145688665742b8l-m4160615066od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/27fa11b1e3548955f7145688665742b8l-m2056541477od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/27fa11b1e3548955f7145688665742b8l-m3063669887od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/27fa11b1e3548955f7145688665742b8l-m507268530od-w480_h360_x2.webp?w=1080&q=75, http://ap.rdcpix.com/27fa11b1e3548955f7145688665742b8l-m2418944740od-w480_h360_x2.webp?w=1080&q=75"
https://www.realtor.com/realestateandhomes-detail/9393854231,TB1B,263000,FOR_SALE,CONDO_TOWNHOME_ROWHOME_COOP,82  Ingalls Village Way,,Boxford,MA,01921,2,2,1,2347,,46,1209995,2023-11-14,,,,516,42.71312514650661,-71.03891379308291,2,,2,http://nh.rdcpix.com/a7bde0cde3eb4e74fae9be846cbee79fl-f1008056000od-w480_h360_x2.webp?w=1080&q=75,"http://nh.rdcpix.com/a7bde0cde3eb4e74fae9be846cbee79fl-f1008056000od-w480_h360_x2.webp?w=1080&q=75, http://nh.rdcpix.com/a7bde0cde3eb4e74fae9be846cbee79ft-f1984988906od-w480_h360_x2.webp?w=1080&q=75, http://nh.rdcpix.com/a7bde0cde3eb4e74fae9be846cbee79ft-f1982813240od-w480_h360_x2.webp?w=1080&q=75, http://nh.rdcpix.com/a7bde0cde3eb4e74fae9be846cbee79ft-f3341271746od-w480_h360_x2.webp?w=1080&q=75, http://nh.rdcpix.com/a7bde0cde3eb4e74fae9be846cbee79ft-f46553274od-w480_h360_x2.webp?w=1080&q=75, http://nh.rdcpix.com/a7bde0cde3eb4e74fae9be846cbee79ft-f2881316518od-w480_h360_x2.webp?w=1080&q=75, http://nh.rdcpix.com/a7bde0cde3eb4e74fae9be846cbee79ft-f224316811od-w480_h360_x2.webp?w=1080&q=75, http://nh.rdcpix.com/a7bde0cde3eb4e74fae9be846cbee79ft-f894473853od-w480_h360_x2.webp?w=1080&q=75, http://nh.rdcpix.com/a7bde0cde3eb4e74fae9be846cbee79ft-f1347000983od-w480_h360_x2.webp?w=1080&q=75, http://nh.rdcpix.com/a7bde0cde3eb4e74fae9be846cbee79ft-f2397673276od-w480_h360_x2.webp?w=1080&q=75, http://nh.rdcpix.com/a7bde0cde3eb4e74fae9be846cbee79ft-f3661001936od-w480_h360_x2.webp?w=1080&q=75, http://nh.rdcpix.com/a7bde0cde3eb4e74fae9be846cbee79ff-f2057948399od-w480_h360_x2.webp?w=1080&q=75, http://nh.rdcpix.com/a7bde0cde3eb4e74fae9be846cbee79ff-f1510033817od-w480_h360_x2.webp?w=1080&q=75, http://nh.rdcpix.com/a7bde0cde3eb4e74fae9be846cbee79ff-f4186658835od-w480_h360_x2.webp?w=1080&q=75"
https://www.realtor.com/realestateandhomes-detail/9341038014,TB1B,263020,FOR_SALE,CONDO_TOWNHOME_ROWHOME_COOP,29  Ingalls Village Way,,Boxford,MA,01921,2,2,1,2347,,46,1190995,2023-11-14,,,,507,42.71312514650661,-71.03891379308291,2,,2,http://nh.rdcpix.com/022c1201aa2754ecd89aaef5b2ff0c4dl-f3632120863od-w480_h360_x2.webp?w=1080&q=75,"http://nh.rdcpix.com/022c1201aa2754ecd89aaef5b2ff0c4dl-f3632120863od-w480_h360_x2.webp?w=1080&q=75, http://nh.rdcpix.com/022c1201aa2754ecd89aaef5b2ff0c4dt-f1278220043od-w480_h360_x2.webp?w=1080&q=75, http://nh.rdcpix.com/022c1201aa2754ecd89aaef5b2ff0c4dt-f4033782od-w480_h360_x2.webp?w=1080&q=75, http://nh.rdcpix.com/022c1201aa2754ecd89aaef5b2ff0c4dt-f1517722699od-w480_h360_x2.webp?w=1080&q=75, http://nh.rdcpix.com/022c1201aa2754ecd89aaef5b2ff0c4dt-f833990589od-w480_h360_x2.webp?w=1080&q=75, http://nh.rdcpix.com/022c1201aa2754ecd89aaef5b2ff0c4dt-f1090610040od-w480_h360_x2.webp?w=1080&q=75, http://nh.rdcpix.com/022c1201aa2754ecd89aaef5b2ff0c4dt-f836063450od-w480_h360_x2.webp?w=1080&q=75, http://nh.rdcpix.com/022c1201aa2754ecd89aaef5b2ff0c4dt-f4235926363od-w480_h360_x2.webp?w=1080&q=75, http://nh.rdcpix.com/022c1201aa2754ecd89aaef5b2ff0c4dt-f1238503583od-w480_h360_x2.webp?w=1080&q=75, http://nh.rdcpix.com/022c1201aa2754ecd89aaef5b2ff0c4dt-f313733367od-w480_h360_x2.webp?w=1080&q=75, http://nh.rdcpix.com/022c1201aa2754ecd89aaef5b2ff0c4dt-f2833765590od-w480_h360_x2.webp?w=1080&q=75, http://nh.rdcpix.com/022c1201aa2754ecd89aaef5b2ff0c4df-f2992634718od-w480_h360_x2.webp?w=1080&q=75, http://nh.rdcpix.com/022c1201aa2754ecd89aaef5b2ff0c4df-f3668308844od-w480_h360_x2.webp?w=1080&q=75, http://nh.rdcpix.com/022c1201aa2754ecd89aaef5b2ff0c4df-f3964247367od-w480_h360_x2.webp?w=1080&q=75"
